Method Name,Code Smell,Refactoring Suggestion
save,Long Method,Refactor 'save' by splitting it into smaller functions.
test_strip_summary_ops,Long Method,Refactor 'test_strip_summary_ops' by splitting it into smaller functions.
testPackedVariable,Long Method,Refactor 'testPackedVariable' by splitting it into smaller functions.
_test_metric,Long Method,Refactor '_test_metric' by splitting it into smaller functions.
legacy_saveable_name,Long Method,Refactor 'legacy_saveable_name' by splitting it into smaller functions.
testInteractionWithVariableCreatorScope,Long Method,Refactor 'testInteractionWithVariableCreatorScope' by splitting it into smaller functions.
testSparselyReadForEmbeddingLookup,Long Method,Refactor 'testSparselyReadForEmbeddingLookup' by splitting it into smaller functions.
testBasicShardedVariableWithAggregation,Long Method,Refactor 'testBasicShardedVariableWithAggregation' by splitting it into smaller functions.
testCreateInsideTFFunction,Long Method,Refactor 'testCreateInsideTFFunction' by splitting it into smaller functions.
testCheckpoint,Long Method,Refactor 'testCheckpoint' by splitting it into smaller functions.
experimental_distribute_dataset,Long Method,Refactor 'experimental_distribute_dataset' by splitting it into smaller functions.
reduce,Long Method,Refactor 'reduce' by splitting it into smaller functions.
testRemoteGpusFound,Long Method,Refactor 'testRemoteGpusFound' by splitting it into smaller functions.
worker_fn,Long Method,Refactor 'worker_fn' by splitting it into smaller functions.
_live_tensors,Long Method,Refactor '_live_tensors' by splitting it into smaller functions.
get_entries,Long Method,Refactor 'get_entries' by splitting it into smaller functions.
testOpDefDefaultType,Long Method,Refactor 'testOpDefDefaultType' by splitting it into smaller functions.
canonicalize,Long Method,Refactor 'canonicalize' by splitting it into smaller functions.
testWithVariableAndVariableScope,Long Method,Refactor 'testWithVariableAndVariableScope' by splitting it into smaller functions.
testWithGetVariableAndVariableScope,Long Method,Refactor 'testWithGetVariableAndVariableScope' by splitting it into smaller functions.
testOnlyFirstReplicaUpdatesVariables,Long Method,Refactor 'testOnlyFirstReplicaUpdatesVariables' by splitting it into smaller functions.
testSyncOnReadVariable,Long Method,Refactor 'testSyncOnReadVariable' by splitting it into smaller functions.
testSyncOnReadVariableUpdate,Long Method,Refactor 'testSyncOnReadVariableUpdate' by splitting it into smaller functions.
_test_device_assignment_distributed,Long Method,Refactor '_test_device_assignment_distributed' by splitting it into smaller functions.
_test_device_assignment_distributed_enable_partitioner,Long Method,Refactor '_test_device_assignment_distributed_enable_partitioner' by splitting it into smaller functions.
_test_device_assignment_local,Long Method,Refactor '_test_device_assignment_local' by splitting it into smaller functions.
_test_simple_increment,Long Method,Refactor '_test_simple_increment' by splitting it into smaller functions.
_test_minimize_loss_graph,Long Method,Refactor '_test_minimize_loss_graph' by splitting it into smaller functions.
_test_input_fn_iterator,Long Method,Refactor '_test_input_fn_iterator' by splitting it into smaller functions.
model_fn,Long Method,Refactor 'model_fn' by splitting it into smaller functions.
model_fn,Long Method,Refactor 'model_fn' by splitting it into smaller functions.
testTimelineGpu,Long Method,Refactor 'testTimelineGpu' by splitting it into smaller functions.
testManyCPUs,Long Method,Refactor 'testManyCPUs' by splitting it into smaller functions.
auto_shard_dataset,Long Method,Refactor 'auto_shard_dataset' by splitting it into smaller functions.
_clone_helper,Long Method,Refactor '_clone_helper' by splitting it into smaller functions.
__init__,Long Method,Refactor '__init__' by splitting it into smaller functions.
__init__,Long Method,Refactor '__init__' by splitting it into smaller functions.
_initialize_local,Long Method,Refactor '_initialize_local' by splitting it into smaller functions.
_initialize_multi_worker,Long Method,Refactor '_initialize_multi_worker' by splitting it into smaller functions.
_get_variable_creator_initial_value,Long Method,Refactor '_get_variable_creator_initial_value' by splitting it into smaller functions.
_configure,Long Method,Refactor '_configure' by splitting it into smaller functions.
_update_config_proto,Long Method,Refactor '_update_config_proto' by splitting it into smaller functions.
_reduce_to,Long Method,Refactor '_reduce_to' by splitting it into smaller functions.
_check_health,Long Method,Refactor '_check_health' by splitting it into smaller functions.
_start_check_health_thread,Long Method,Refactor '_start_check_health_thread' by splitting it into smaller functions.
initial_value_fn,Long Method,Refactor 'initial_value_fn' by splitting it into smaller functions.
testAllReduceContinuousRun,Long Method,Refactor 'testAllReduceContinuousRun' by splitting it into smaller functions.
testVariableInitializationWithChangingShape,Long Method,Refactor 'testVariableInitializationWithChangingShape' by splitting it into smaller functions.
testMultiDeviceFunctionOnRemoteDeviceWithWait,Long Method,Refactor 'testMultiDeviceFunctionOnRemoteDeviceWithWait' by splitting it into smaller functions.
DISABLED_testSimpleParameterServerWithDeviceFilters,Long Method,Refactor 'DISABLED_testSimpleParameterServerWithDeviceFilters' by splitting it into smaller functions.
match,Long Method,Refactor 'match' by splitting it into smaller functions.
diff,Long Method,Refactor 'diff' by splitting it into smaller functions.
executing_eagerly,Long Method,Refactor 'executing_eagerly' by splitting it into smaller functions.
executing_eagerly_v1,Long Method,Refactor 'executing_eagerly_v1' by splitting it into smaller functions.
set_log_device_placement,Long Method,Refactor 'set_log_device_placement' by splitting it into smaller functions.
collect_graphs,Long Method,Refactor 'collect_graphs' by splitting it into smaller functions.
async_scope,Long Method,Refactor 'async_scope' by splitting it into smaller functions.
__init__,Long Method,Refactor '__init__' by splitting it into smaller functions.
_initialize_logical_devices,Long Method,Refactor '_initialize_logical_devices' by splitting it into smaller functions.
ensure_initialized,Long Method,Refactor 'ensure_initialized' by splitting it into smaller functions.
set_server_def,Long Method,Refactor 'set_server_def' by splitting it into smaller functions.
configure_coordination_service,Long Method,Refactor 'configure_coordination_service' by splitting it into smaller functions.
configure_collective_ops,Long Method,Refactor 'configure_collective_ops' by splitting it into smaller functions.
config,Long Method,Refactor 'config' by splitting it into smaller functions.
_compute_device_options,Long Method,Refactor '_compute_device_options' by splitting it into smaller functions.
_initialize_physical_devices,Long Method,Refactor '_initialize_physical_devices' by splitting it into smaller functions.
get_device_details,Long Method,Refactor 'get_device_details' by splitting it into smaller functions.
_import_config,Long Method,Refactor '_import_config' by splitting it into smaller functions.
set_visible_devices,High Cyclomatic Complexity,Reduce complexity in 'set_visible_devices' by simplifying logic or extracting helper methods.
set_logical_device_configuration,Long Method,Refactor 'set_logical_device_configuration' by splitting it into smaller functions.
set_logical_cpu_devices,Long Method,Refactor 'set_logical_cpu_devices' by splitting it into smaller functions.
get_compiler_ir,Long Method,Refactor 'get_compiler_ir' by splitting it into smaller functions.
get_optimizer_experimental_options,Long Method,Refactor 'get_optimizer_experimental_options' by splitting it into smaller functions.
__enter__,Long Method,Refactor '__enter__' by splitting it into smaller functions.
call_for_each_replica,Long Method,Refactor 'call_for_each_replica' by splitting it into smaller functions.
_call_for_each_replica,Long Method,Refactor '_call_for_each_replica' by splitting it into smaller functions.
__init__,Long Method,Refactor '__init__' by splitting it into smaller functions.
_merge_call,Long Method,Refactor '_merge_call' by splitting it into smaller functions.
regroup,Long Method,Refactor 'regroup' by splitting it into smaller functions.
update_regroup,Long Method,Refactor 'update_regroup' by splitting it into smaller functions.
create_mirrored_variable,Long Method,Refactor 'create_mirrored_variable' by splitting it into smaller functions.
cache_variable_reads,Long Method,Refactor 'cache_variable_reads' by splitting it into smaller functions.
testDatasetIterationInFunction,Long Method,Refactor 'testDatasetIterationInFunction' by splitting it into smaller functions.
testDatasetAssertWithDynamicBatch,Long Method,Refactor 'testDatasetAssertWithDynamicBatch' by splitting it into smaller functions.
testReshapeWithDynamicInputs,Long Method,Refactor 'testReshapeWithDynamicInputs' by splitting it into smaller functions.
_jvp_helper,Long Method,Refactor '_jvp_helper' by splitting it into smaller functions.
_jvp_helper_wrapper,Long Method,Refactor '_jvp_helper_wrapper' by splitting it into smaller functions.
__init__,Long Method,Refactor '__init__' by splitting it into smaller functions.
jvp,Long Method,Refactor 'jvp' by splitting it into smaller functions.
_copy_non_source,Long Method,Refactor '_copy_non_source' by splitting it into smaller functions.
_copy_source,Long Method,Refactor '_copy_source' by splitting it into smaller functions.
lift_to_graph,Long Method,Refactor 'lift_to_graph' by splitting it into smaller functions.
test_spmd_variable_structure,Long Method,Refactor 'test_spmd_variable_structure' by splitting it into smaller functions.
test_logical_device_assignment,Long Method,Refactor 'test_logical_device_assignment' by splitting it into smaller functions.
test_paritioned_model_checkpointing,Long Method,Refactor 'test_paritioned_model_checkpointing' by splitting it into smaller functions.
test_spmd_variable_read,Long Method,Refactor 'test_spmd_variable_read' by splitting it into smaller functions.
test_spmd_variable_update,Long Method,Refactor 'test_spmd_variable_update' by splitting it into smaller functions.
test_spmd_model_checkpointing,Long Method,Refactor 'test_spmd_model_checkpointing' by splitting it into smaller functions.
test_spmd_with_summary,Long Method,Refactor 'test_spmd_with_summary' by splitting it into smaller functions.
_run_single_worker,Long Method,Refactor '_run_single_worker' by splitting it into smaller functions.
_run_std_server,Long Method,Refactor '_run_std_server' by splitting it into smaller functions.
_run_between_graph_client,Long Method,Refactor '_run_between_graph_client' by splitting it into smaller functions.
run_standard_tensorflow_server,Long Method,Refactor 'run_standard_tensorflow_server' by splitting it into smaller functions.
run_distribute_coordinator,Long Method,Refactor 'run_distribute_coordinator' by splitting it into smaller functions.
__init__,Long Method,Refactor '__init__' by splitting it into smaller functions.
session_creator,Long Method,Refactor 'session_creator' by splitting it into smaller functions.
_gather_trackable_data,Long Method,Refactor '_gather_trackable_data' by splitting it into smaller functions.
_get_and_write_tensors_to_serialize,Long Method,Refactor '_get_and_write_tensors_to_serialize' by splitting it into smaller functions.
_get_tensors_from_trackable,Long Method,Refactor '_get_tensors_from_trackable' by splitting it into smaller functions.
_get_and_write_pystate_feed_additions,Long Method,Refactor '_get_and_write_pystate_feed_additions' by splitting it into smaller functions.
serialize_graph_view,Long Method,Refactor 'serialize_graph_view' by splitting it into smaller functions.
batchnorm_example,Long Method,Refactor 'batchnorm_example' by splitting it into smaller functions.
testWarmStart,Long Method,Refactor 'testWarmStart' by splitting it into smaller functions.
reduce_non_distributed_value,Long Method,Refactor 'reduce_non_distributed_value' by splitting it into smaller functions.
_ungroup_and_make_mirrored,Long Method,Refactor '_ungroup_and_make_mirrored' by splitting it into smaller functions.
select_cross_device_ops,Long Method,Refactor 'select_cross_device_ops' by splitting it into smaller functions.
reduce,Long Method,Refactor 'reduce' by splitting it into smaller functions.
_gather,Long Method,Refactor '_gather' by splitting it into smaller functions.
batch_reduce,Long Method,Refactor 'batch_reduce' by splitting it into smaller functions.
pack,Long Method,Refactor 'pack' by splitting it into smaller functions.
unpack,Long Method,Refactor 'unpack' by splitting it into smaller functions.
__init__,Long Method,Refactor '__init__' by splitting it into smaller functions.
_all_reduce,Long Method,Refactor '_all_reduce' by splitting it into smaller functions.
_all_reduce_per_replica_values,Long Method,Refactor '_all_reduce_per_replica_values' by splitting it into smaller functions.
reduce_implementation,Long Method,Refactor 'reduce_implementation' by splitting it into smaller functions.
_batch_all_gather,Long Method,Refactor '_batch_all_gather' by splitting it into smaller functions.
test_embedding_lookup,Long Method,Refactor 'test_embedding_lookup' by splitting it into smaller functions.
test_slicing,Long Method,Refactor 'test_slicing' by splitting it into smaller functions.
testSaveAndLoadSingleVariable,Long Method,Refactor 'testSaveAndLoadSingleVariable' by splitting it into smaller functions.
testSaveAndLoadModuleUnderStrategy,Long Method,Refactor 'testSaveAndLoadModuleUnderStrategy' by splitting it into smaller functions.
testOperatorOverrides,Long Method,Refactor 'testOperatorOverrides' by splitting it into smaller functions.
testArgsToMatchingEagerDefault,Long Method,Refactor 'testArgsToMatchingEagerDefault' by splitting it into smaller functions.
ops_test,Long Method,Refactor 'ops_test' by splitting it into smaller functions.
testNestedInput,Long Method,Refactor 'testNestedInput' by splitting it into smaller functions.
testSyncOnReadVariableInput,Long Method,Refactor 'testSyncOnReadVariableInput' by splitting it into smaller functions.
testSparseTuple,Long Method,Refactor 'testSparseTuple' by splitting it into smaller functions.
testNestedInput,Long Method,Refactor 'testNestedInput' by splitting it into smaller functions.
testContextIsDestroyedAfterTensors,Long Method,Refactor 'testContextIsDestroyedAfterTensors' by splitting it into smaller functions.
test_restore_nodes_has_serialize_to_tensor,Long Method,Refactor 'test_restore_nodes_has_serialize_to_tensor' by splitting it into smaller functions.
test_restore_nodes_with_different_number_of_serialized_to_tensors,Long Method,Refactor 'test_restore_nodes_with_different_number_of_serialized_to_tensors' by splitting it into smaller functions.
test_restore_nodes_not_serialize_to_tensor,Long Method,Refactor 'test_restore_nodes_not_serialize_to_tensor' by splitting it into smaller functions.
test_restore_nodes_not_serialize_to_tensor_error_cases,Long Method,Refactor 'test_restore_nodes_not_serialize_to_tensor_error_cases' by splitting it into smaller functions.
init_var_from_numpy,Long Method,Refactor 'init_var_from_numpy' by splitting it into smaller functions.
_test_minimize_loss_graph,Long Method,Refactor '_test_minimize_loss_graph' by splitting it into smaller functions.
_test_input_fn_iterator,Long Method,Refactor '_test_input_fn_iterator' by splitting it into smaller functions.
testKeepLogicalDevice,Long Method,Refactor 'testKeepLogicalDevice' by splitting it into smaller functions.
test_tpu_replicated_variable_update,Long Method,Refactor 'test_tpu_replicated_variable_update' by splitting it into smaller functions.
test_tpu_replicated_variable_checkpoint,Long Method,Refactor 'test_tpu_replicated_variable_checkpoint' by splitting it into smaller functions.
configure,Long Method,Refactor 'configure' by splitting it into smaller functions.
_between_graph_worker_fn,Long Method,Refactor '_between_graph_worker_fn' by splitting it into smaller functions.
_between_graph_with_monitored_session,Long Method,Refactor '_between_graph_with_monitored_session' by splitting it into smaller functions.
testBetweenGraphContextWithChief,Long Method,Refactor 'testBetweenGraphContextWithChief' by splitting it into smaller functions.
testBetweenGraphContext,Long Method,Refactor 'testBetweenGraphContext' by splitting it into smaller functions.
testInGraphContext,Long Method,Refactor 'testInGraphContext' by splitting it into smaller functions.
testInGraphContextWithEval,Long Method,Refactor 'testInGraphContextWithEval' by splitting it into smaller functions.
test_environment_override,Long Method,Refactor 'test_environment_override' by splitting it into smaller functions.
generate_checkpoint_state_proto,Long Method,Refactor 'generate_checkpoint_state_proto' by splitting it into smaller functions.
update_checkpoint_state,Long Method,Refactor 'update_checkpoint_state' by splitting it into smaller functions.
update_checkpoint_state_internal,Long Method,Refactor 'update_checkpoint_state_internal' by splitting it into smaller functions.
get_checkpoint_state,Long Method,Refactor 'get_checkpoint_state' by splitting it into smaller functions.
latest_checkpoint,Long Method,Refactor 'latest_checkpoint' by splitting it into smaller functions.
get_checkpoint_mtimes,Long Method,Refactor 'get_checkpoint_mtimes' by splitting it into smaller functions.
__init__,Long Method,Refactor '__init__' by splitting it into smaller functions.
save,Long Method,Refactor 'save' by splitting it into smaller functions.
restore_or_initialize,Long Method,Refactor 'restore_or_initialize' by splitting it into smaller functions.
_test_minimize_loss_eager,Long Method,Refactor '_test_minimize_loss_eager' by splitting it into smaller functions.
_test_minimize_loss_graph,Long Method,Refactor '_test_minimize_loss_graph' by splitting it into smaller functions.
_test_summary_for_replica_zero_only,Long Method,Refactor '_test_summary_for_replica_zero_only' by splitting it into smaller functions.
_test_input_fn_iterator,Long Method,Refactor '_test_input_fn_iterator' by splitting it into smaller functions.
_test_numpy_dataset,Long Method,Refactor '_test_numpy_dataset' by splitting it into smaller functions.
_var_to_tensor,Long Method,Refactor '_var_to_tensor' by splitting it into smaller functions.
__init__,Long Method,Refactor '__init__' by splitting it into smaller functions.
__getitem__,Long Method,Refactor '__getitem__' by splitting it into smaller functions.
_decompose_slice_spec,Long Method,Refactor '_decompose_slice_spec' by splitting it into smaller functions.
_decompose_indices,Long Method,Refactor '_decompose_indices' by splitting it into smaller functions.
main,Long Method,Refactor 'main' by splitting it into smaller functions.
_lift_unlifted_variables,Long Method,Refactor '_lift_unlifted_variables' by splitting it into smaller functions.
wrap_function,Long Method,Refactor 'wrap_function' by splitting it into smaller functions.
prune,Long Method,Refactor 'prune' by splitting it into smaller functions.
wrap_function,Long Method,Refactor 'wrap_function' by splitting it into smaller functions.
_wrap_function,Long Method,Refactor '_wrap_function' by splitting it into smaller functions.
_fetch_preprocessing_callback,Long Method,Refactor '_fetch_preprocessing_callback' by splitting it into smaller functions.
testDistVarAsTFFunArg,Long Method,Refactor 'testDistVarAsTFFunArg' by splitting it into smaller functions.
testDistStratRestore,Long Method,Refactor 'testDistStratRestore' by splitting it into smaller functions.
testSavedModel,Long Method,Refactor 'testSavedModel' by splitting it into smaller functions.
testNameCollision,Long Method,Refactor 'testNameCollision' by splitting it into smaller functions.
testRelativePath,Long Method,Refactor 'testRelativePath' by splitting it into smaller functions.
testKeepAll,Long Method,Refactor 'testKeepAll' by splitting it into smaller functions.
testSaveRestoreState,Long Method,Refactor 'testSaveRestoreState' by splitting it into smaller functions.
testClockReset,Long Method,Refactor 'testClockReset' by splitting it into smaller functions.
testCheckpointInterval,Long Method,Refactor 'testCheckpointInterval' by splitting it into smaller functions.
testVariableLifting,Long Method,Refactor 'testVariableLifting' by splitting it into smaller functions.
testCollectionsIsolation,Long Method,Refactor 'testCollectionsIsolation' by splitting it into smaller functions.
testGradientsOfPrune,Long Method,Refactor 'testGradientsOfPrune' by splitting it into smaller functions.
testPruneOperations,Long Method,Refactor 'testPruneOperations' by splitting it into smaller functions.
testShareVariablesSameGraph,Long Method,Refactor 'testShareVariablesSameGraph' by splitting it into smaller functions.
testShareVariablesDifferentGraphs,Long Method,Refactor 'testShareVariablesDifferentGraphs' by splitting it into smaller functions.
_run_contained,Long Method,Refactor '_run_contained' by splitting it into smaller functions.
run,Long Method,Refactor 'run' by splitting it into smaller functions.
get_barrier,Long Method,Refactor 'get_barrier' by splitting it into smaller functions.
test_main,Long Method,Refactor 'test_main' by splitting it into smaller functions.
__init__,Long Method,Refactor '__init__' by splitting it into smaller functions.
_start_subprocess_and_reading_thread,Long Method,Refactor '_start_subprocess_and_reading_thread' by splitting it into smaller functions.
start_in_process_as,Long Method,Refactor 'start_in_process_as' by splitting it into smaller functions.
start_single_process,Long Method,Refactor 'start_single_process' by splitting it into smaller functions.
_process_watchdog,Long Method,Refactor '_process_watchdog' by splitting it into smaller functions.
join,Long Method,Refactor 'join' by splitting it into smaller functions.
__call__,Long Method,Refactor '__call__' by splitting it into smaller functions.
run,Long Method,Refactor 'run' by splitting it into smaller functions.
generate,Long Method,Refactor 'generate' by splitting it into smaller functions.
_test_runner,Long Method,Refactor '_test_runner' by splitting it into smaller functions.
_multi_worker_test,Long Method,Refactor '_multi_worker_test' by splitting it into smaller functions.
modified_arguments,Long Method,Refactor 'modified_arguments' by splitting it into smaller functions.
should_execute_combination,Long Method,Refactor 'should_execute_combination' by splitting it into smaller functions.
should_execute_combination,Long Method,Refactor 'should_execute_combination' by splitting it into smaller functions.
__init__,Long Method,Refactor '__init__' by splitting it into smaller functions.
decorator,Long Method,Refactor 'decorator' by splitting it into smaller functions.
__init__,Long Method,Refactor '__init__' by splitting it into smaller functions.
TestRandomGraph,Long Method,Refactor 'TestRandomGraph' by splitting it into smaller functions.
testStatsContainAllDeviceNames,Long Method,Refactor 'testStatsContainAllDeviceNames' by splitting it into smaller functions.
restore_nodes,Long Method,Refactor 'restore_nodes' by splitting it into smaller functions.
_queue_children_for_restoration,Long Method,Refactor '_queue_children_for_restoration' by splitting it into smaller functions.
_queue_slot_variables,Long Method,Refactor '_queue_slot_variables' by splitting it into smaller functions.
_get_saveable_from_factory,Long Method,Refactor '_get_saveable_from_factory' by splitting it into smaller functions.
bind_object,Long Method,Refactor 'bind_object' by splitting it into smaller functions.
value_tensors,Long Method,Refactor 'value_tensors' by splitting it into smaller functions.
gather_ops_or_named_saveables,Long Method,Refactor 'gather_ops_or_named_saveables' by splitting it into smaller functions.
_create_saveables_by_attribute_name,Long Method,Refactor '_create_saveables_by_attribute_name' by splitting it into smaller functions.
create_slot_variable_position,Long Method,Refactor 'create_slot_variable_position' by splitting it into smaller functions.
_restore_descendants,Long Method,Refactor '_restore_descendants' by splitting it into smaller functions.
__init__,Long Method,Refactor '__init__' by splitting it into smaller functions.
_maybe_partial_apply_variables,Long Method,Refactor '_maybe_partial_apply_variables' by splitting it into smaller functions.
__init__,Long Method,Refactor '__init__' by splitting it into smaller functions.
run,Long Method,Refactor 'run' by splitting it into smaller functions.
experimental_assign_to_logical_device,Long Method,Refactor 'experimental_assign_to_logical_device' by splitting it into smaller functions.
experimental_split_to_logical_devices,Long Method,Refactor 'experimental_split_to_logical_devices' by splitting it into smaller functions.
experimental_replicate_to_logical_devices,Long Method,Refactor 'experimental_replicate_to_logical_devices' by splitting it into smaller functions.
__init__,Long Method,Refactor '__init__' by splitting it into smaller functions.
run,Long Method,Refactor 'run' by splitting it into smaller functions.
__init__,Long Method,Refactor '__init__' by splitting it into smaller functions.
_get_replica_order,Long Method,Refactor '_get_replica_order' by splitting it into smaller functions.
_experimental_run_steps_on_iterator,Long Method,Refactor '_experimental_run_steps_on_iterator' by splitting it into smaller functions.
_create_variable,Long Method,Refactor '_create_variable' by splitting it into smaller functions.
_reduce_to,Long Method,Refactor '_reduce_to' by splitting it into smaller functions.
_update,Long Method,Refactor '_update' by splitting it into smaller functions.
_tpu_function_creator,Long Method,Refactor '_tpu_function_creator' by splitting it into smaller functions.
all_gather,Long Method,Refactor 'all_gather' by splitting it into smaller functions.
_create_mirrored_tpu_variables,Long Method,Refactor '_create_mirrored_tpu_variables' by splitting it into smaller functions.
_create_mirrored_tpu_replicated_variables,Long Method,Refactor '_create_mirrored_tpu_replicated_variables' by splitting it into smaller functions.
_create_uninitialized_mirrored_tpu_variables,Long Method,Refactor '_create_uninitialized_mirrored_tpu_variables' by splitting it into smaller functions.
_create_uninitialized_mirrored_tpu_replicated_variables,Long Method,Refactor '_create_uninitialized_mirrored_tpu_replicated_variables' by splitting it into smaller functions.
tpu_function,Long Method,Refactor 'tpu_function' by splitting it into smaller functions.
_all_gather_tensor,Long Method,Refactor '_all_gather_tensor' by splitting it into smaller functions.
__init__,Long Method,Refactor '__init__' by splitting it into smaller functions.
_gradient_function,Long Method,Refactor '_gradient_function' by splitting it into smaller functions.
implicit_val_and_grad,Long Method,Refactor 'implicit_val_and_grad' by splitting it into smaller functions.
implicit_grad,Long Method,Refactor 'implicit_grad' by splitting it into smaller functions.
_get_arg_spec,High Cyclomatic Complexity,Reduce complexity in '_get_arg_spec' by simplifying logic or extracting helper methods.
gradients_function,Long Method,Refactor 'gradients_function' by splitting it into smaller functions.
val_and_grad_function,Long Method,Refactor 'val_and_grad_function' by splitting it into smaller functions.
make_vjp,Long Method,Refactor 'make_vjp' by splitting it into smaller functions.
decorated,Long Method,Refactor 'decorated' by splitting it into smaller functions.
reset,Long Method,Refactor 'reset' by splitting it into smaller functions.
gradient,Long Method,Refactor 'gradient' by splitting it into smaller functions.
jacobian,Long Method,Refactor 'jacobian' by splitting it into smaller functions.
batch_jacobian,Long Method,Refactor 'batch_jacobian' by splitting it into smaller functions.
test_lookup_table_compatibility,Long Method,Refactor 'test_lookup_table_compatibility' by splitting it into smaller functions.
test_forward_compatibility,Long Method,Refactor 'test_forward_compatibility' by splitting it into smaller functions.
make_per_replica_value,Long Method,Refactor 'make_per_replica_value' by splitting it into smaller functions.
reduce_and_verify,Long Method,Refactor 'reduce_and_verify' by splitting it into smaller functions.
batch_reduce_and_verify,Long Method,Refactor 'batch_reduce_and_verify' by splitting it into smaller functions.
testReduceDense,Long Method,Refactor 'testReduceDense' by splitting it into smaller functions.
testReduceSparse,Long Method,Refactor 'testReduceSparse' by splitting it into smaller functions.
testBatchReduceDense,Long Method,Refactor 'testBatchReduceDense' by splitting it into smaller functions.
testBatchReduceSparse,Long Method,Refactor 'testBatchReduceSparse' by splitting it into smaller functions.
testBatchReduceMixedDenseAndSparse,Long Method,Refactor 'testBatchReduceMixedDenseAndSparse' by splitting it into smaller functions.
testAllReduceDense,Long Method,Refactor 'testAllReduceDense' by splitting it into smaller functions.
testAllReduceSparse,Long Method,Refactor 'testAllReduceSparse' by splitting it into smaller functions.
testAllReduceMixedDenseAndSparse,Long Method,Refactor 'testAllReduceMixedDenseAndSparse' by splitting it into smaller functions.
testAllGatherSameShape,Long Method,Refactor 'testAllGatherSameShape' by splitting it into smaller functions.
testMultiThreadedCollectiveLaunchNoInterleave,Long Method,Refactor 'testMultiThreadedCollectiveLaunchNoInterleave' by splitting it into smaller functions.
testInputsAreFunctionArgs,Long Method,Refactor 'testInputsAreFunctionArgs' by splitting it into smaller functions.
testTimeoutReduceDense,Long Method,Refactor 'testTimeoutReduceDense' by splitting it into smaller functions.
testTimeoutBatchReduceDense,Long Method,Refactor 'testTimeoutBatchReduceDense' by splitting it into smaller functions.
testTimeoutReduceSparse,Long Method,Refactor 'testTimeoutReduceSparse' by splitting it into smaller functions.
testTimeoutBatchReduceSparse,Long Method,Refactor 'testTimeoutBatchReduceSparse' by splitting it into smaller functions.
testNcclOrdering,Long Method,Refactor 'testNcclOrdering' by splitting it into smaller functions.
replica_fn,Long Method,Refactor 'replica_fn' by splitting it into smaller functions.
replica_fn,Long Method,Refactor 'replica_fn' by splitting it into smaller functions.
replica_fn,Long Method,Refactor 'replica_fn' by splitting it into smaller functions.
replica_fn,Long Method,Refactor 'replica_fn' by splitting it into smaller functions.
replica_fn,Long Method,Refactor 'replica_fn' by splitting it into smaller functions.
f,Long Method,Refactor 'f' by splitting it into smaller functions.
testVirtualGpusCollectiveOp,Long Method,Refactor 'testVirtualGpusCollectiveOp' by splitting it into smaller functions.
testAssignAddMirroredVarCrossDeviceContext,Long Method,Refactor 'testAssignAddMirroredVarCrossDeviceContext' by splitting it into smaller functions.
testBackwardFunctionDevicePlacement,Long Method,Refactor 'testBackwardFunctionDevicePlacement' by splitting it into smaller functions.
distribute_datasets_from_function,Long Method,Refactor 'distribute_datasets_from_function' by splitting it into smaller functions.
reduce,Long Method,Refactor 'reduce' by splitting it into smaller functions.
_experimental_run_steps_on_iterator,Long Method,Refactor '_experimental_run_steps_on_iterator' by splitting it into smaller functions.
testReadVariableInsideFunction,Long Method,Refactor 'testReadVariableInsideFunction' by splitting it into smaller functions.
testFetchNestedAttrs,Long Method,Refactor 'testFetchNestedAttrs' by splitting it into smaller functions.
testFetchNestingOneLevel,Long Method,Refactor 'testFetchNestingOneLevel' by splitting it into smaller functions.
testFetchTensorObject,Long Method,Refactor 'testFetchTensorObject' by splitting it into smaller functions.
testFetchSparseTensor,Long Method,Refactor 'testFetchSparseTensor' by splitting it into smaller functions.
testFeedSparseTensor,Long Method,Refactor 'testFeedSparseTensor' by splitting it into smaller functions.
testFeedSparsePlaceholder,Long Method,Refactor 'testFeedSparsePlaceholder' by splitting it into smaller functions.
testFeedSparsePlaceholderPartialShape,Long Method,Refactor 'testFeedSparsePlaceholderPartialShape' by splitting it into smaller functions.
testFetchIndexedSlices,Long Method,Refactor 'testFetchIndexedSlices' by splitting it into smaller functions.
testFeedIndexedSlices,Long Method,Refactor 'testFeedIndexedSlices' by splitting it into smaller functions.
testFetchIndexedSlicesWithoutDenseShape,Long Method,Refactor 'testFetchIndexedSlicesWithoutDenseShape' by splitting it into smaller functions.
testMultipleInteractiveSessionsError,Long Method,Refactor 'testMultipleInteractiveSessionsError' by splitting it into smaller functions.
testFeedAndFetch,Long Method,Refactor 'testFeedAndFetch' by splitting it into smaller functions.
testFetchByNameDifferentStringTypes,Long Method,Refactor 'testFetchByNameDifferentStringTypes' by splitting it into smaller functions.
testDefaultLogDevicePlacement,Long Method,Refactor 'testDefaultLogDevicePlacement' by splitting it into smaller functions.
